,标题,链接,总价,均价,位置1,位置2,房屋户型,房本面积,房屋朝向,一手房源,所在楼层,装修情况,产权年限,建筑年代,小区名,小区均价,物业费,容积率,绿化率,车位信息
271,禾祥西 源昌国际城旁 联邦广场 朝南电梯3房小区?,https://xm.58.com/ershoufang/44192819714695x.shtml,628,65458元/㎡,思明,禾祥西路8之17-30,3室2厅1卫,95.94㎡,东南, 否 ,中层(共12层),精装修,70年产权,2000年,联邦广场,62431.0元/㎡,1.5元/平米/月,0,0,500
272,边套 联发 南北 位置安静 满2 看海 大3房 ?,https://xm.58.com/ershoufang/44289188580102x.shtml,1100,78042元/㎡,湖里,五缘西三里1-47号,3室1厅2卫,140.95㎡,南北, 否 ,中层(共16层),简单装修,70年产权,2009年,联发五缘湾1号,85889.0元/㎡,2.7元/平米/月,2,50,1200
273,集美二小古龙明珠 上下措户型  南北通透 满五 ?,https://xm.58.com/ershoufang/44311061334043x.shtml,388,42312元/㎡,,,,,,,,,,,,,,,,
274,厦大 珍珠湾花园 电梯3房 南北朝向 一线海景 ?,https://xm.58.com/ershoufang/44126401664282x.shtml,968,65954元/㎡,思明,"曾厝垵路104-114,218-232号",3室2厅2卫,146.77㎡,南北, 否 ,中层(共12层),精装修,70年产权,2004年,珍珠湾花园(公寓住宅),65953.0元/㎡,0.8元/平米/月,0,52,120
275,3室2厅 南北通透 双桥明珠 满五  住房 精装?,https://xm.58.com/ershoufang/43968733576339x.shtml,300,24808元/㎡,集美,双桥一里1-42号,3室2厅2卫,120.93㎡,南北, 否 ,中层(共12层),精装修,70年产权,2006年,双桥明珠,24593.0元/㎡,1.6元/平米/月,1.8,45,624
276,人民小学对面，错3层，电梯边套！精装3房全明户型?,https://xm.58.com/ershoufang/44059861830539x.shtml,558,61925元/㎡,思明,东浦路6-12号,3室2厅2卫,90.11㎡,北, 否 ,中层(共15层),精装修,70年产权,2001年,金枫园,61955.0元/㎡,1.0元/平米/月,2.1,30,200
277,前埔brt 店上西里 电梯中层 看中庭 3房2卫?,https://xm.58.com/ershoufang/44247062338855x.shtml,598,50726元/㎡,思明,店上西里2-53号,3室2厅2卫,117.89㎡,南北, 否 ,中层(共15层),精装修,70年产权,2000年,前埔南小区(店上西里),50686.0元/㎡,1.5元/平米/月,0,0,500
278,华森公园  周边配套完善，精装 有钥匙带您看?,https://xm.58.com/ershoufang/43983008723717x.shtml,188,22925元/㎡,同安,凤祥五里180-198号,3室1厅1卫,82.01㎡,南北, 否 ,中层(共12层),精装修,70年产权,2013年,华森公园首府,27072.0元/㎡,1.5元/平米/月,2.6,40,180
279,闽南古镇旁 06年电梯高层三房 厅带阳台朝南 全?,https://xm.58.com/ershoufang/44250082205095x.shtml,440,44445元/㎡,湖里,长浩一里50-95号,3室2厅2卫,99.0㎡,南北, 否 ,中层(共12层),简单装修,70年产权,2006年,翔鹭花城(二期),43384.0元/㎡,1.2元/平米/月,2.2,40,200
280,华昌小学旁，109平三房，电梯高层，视野好，信达?,https://xm.58.com/ershoufang/44204869532821x.shtml,345,31652元/㎡,湖里,兴隆路25-27号,3室2厅1卫,109.0㎡,南北, 否 ,中层(共15层),简单装修,70年产权,1998年,信源大厦,33779.0元/㎡,0.8元/平米/月,0,0,10
281,选他准错不了！ 新景雅苑 楼中楼三房 多维度交通?,https://xm.58.com/ershoufang/43571301659154x.shtml,623,66990元/㎡,湖里,江顺里233-243号,3室2厅2卫,93.0㎡,南北, 否 ,中层(共14层),简单装修,70年产权,2005年,新景雅苑,66584.0元/㎡,0.6元/平米/月,0,35,120
282,省优莲花 地铁口 交通便利 电梯高层 精装修 户?,https://xm.58.com/ershoufang/44090925303058x.shtml,680,49934元/㎡,思明,吕岭路124-126号,3室2厅1卫,136.18㎡,南北, 否 ,中层(共17层),精装修,70年产权,2005年,凯悦丽池大厦,58466.0元/㎡,1.5元/平米/月,0,0,120
283,罗宾森 万象城 04年3房 朝南 读湖明小学 外?,https://xm.58.com/ershoufang/43120978709777x.shtml,538,55028元/㎡,思明,"凤屿路21-17号,禾祥东路89-93号",3室2厅2卫,97.77㎡,东南, 否 ,中层(共17层),精装修,70年产权,2004年,富城花园,58924.0元/㎡,1.0元/平米/月,0,0,10
284,龙祥花园 3室2厅2卫 136.0平米 768.?,https://xm.58.com/ershoufang/44343742835603x.shtml,768,56471元/㎡,思明,禾祥东路20号,3室2厅2卫,136.0㎡,南北, 否 ,中层(共16层),简单装修,,2000年,龙祥花园,64804.0元/㎡,0.8元/平米/月,0,0,50
285,湖里.特区纪念馆旁.信源大厦采光好精装3房345?,https://xm.58.com/ershoufang/43139989481102x.shtml,345,31815元/㎡,湖里,兴隆路25-27号,3室2厅1卫,108.44㎡,东, 否 ,中层(共16层),精装修,70年产权,1994年,信源大厦,33779.0元/㎡,0.8元/平米/月,0,0,10
286,满二  住房 320万 精装修 115平 居家自?,https://xm.58.com/ershoufang/42586699165829x.shtml,320,27812元/㎡,集美,鱼福三里121-136号,3室2厅2卫,115.06㎡,南北, 否 ,中层(共16层),精装修,70年产权,2015年,龙湖嘉誉(一期公寓住宅),26943.0元/㎡,3.3元/平米/月,1.71,30,360
287,读三小28中光线充足朝南，3房2厅一卫，好楼层 ?,https://xm.58.com/ershoufang/44344992789121x.shtml,200,24391元/㎡,同安,凤祥五里180-198号,3室2厅1卫,82.0㎡,南, 否 ,中层(共12层),精装修,70年产权,2013年,华森公园首府,27072.0元/㎡,1.5元/平米/月,2.6,40,180
288,枋湖 高品质小区 东晖广场 高层精装修 读名校中?,https://xm.58.com/ershoufang/44292739690254x.shtml,777,65848元/㎡,湖里,金湖二里1-19号,3室2厅2卫,118.0㎡,南北, 否 ,中层(共12层),简单装修,70年产权,2011年,东晖广场,61465.0元/㎡,1.8元/平米/月,2.37,40,400
289,218万 银城明珠 3室2厅 电梯房 楼层好 视?,https://xm.58.com/ershoufang/44181367675531x.shtml,218,17228元/㎡,同安,城南二里1-73号,3室2厅2卫,126.54㎡,南北, 否 ,中层(共12层),毛坯,70年产权,2007年,银城明珠,19020.0元/㎡,0.9元/平米/月,2.2,40,1000
290,毗邻万象城 精装三房 南北通透 封闭式花园小区 ?,https://xm.58.com/ershoufang/44161202081806x.shtml,886,68154元/㎡,思明,禾祥东路67-87号,3室2厅2卫,130.0㎡,南北, 否 ,中层(共12层),简单装修,70年产权,2004年,皓晖花园,64404.0元/㎡,1.8元/平米/月,2.96,35,150
291,读北师大正规电梯三房蓝月湾浪琴湾采光好无遮挡地铁?,https://xm.58.com/ershoufang/44223753009828x.shtml,280,30435元/㎡,海沧,嵩屿北三里70-92号,3室2厅1卫,92.0㎡,南北, 否 ,中层(共12层),简单装修,70年产权,2014年,未来海岸水云湾,31988.0元/㎡,2.0元/平米/月,0,30,300
292,中铁元湾中庭毛坯大3房  满2年 看房方便（小区?,https://xm.58.com/ershoufang/44167543599384x.shtml,1350,85851元/㎡,湖里,五缘西一里63-97号,3室2厅2卫,157.25㎡,南北, 否 ,中层(共16层),毛坯,70年产权,2011年,中铁元湾,107459.0元/㎡,3.2元/平米/月,2.6,35,1000
293,火车站 次新房带小区出价就卖 东浦花园 精装三房?,https://xm.58.com/ershoufang/43780666304655x.shtml,458,55854元/㎡,思明,东浦路75-79号,3室2厅2卫,82.0㎡,南, 否 ,中层(共17层),精装修,70年产权,2009年,东浦花园,55853.0元/㎡,1.3元/平米/月,0,15,240
294,省优滨东小学 万象城一墙之隔 楼下就是地铁口电梯?,https://xm.58.com/ershoufang/44325651320472x.shtml,628,63021元/㎡,思明,湖滨东路77-83号,3室2厅1卫,99.65㎡,东南, 否 ,中层(共15层),精装修,70年产权,2001年,嘉隆商业小区,60934.0元/㎡,0.8元/平米/月,0,0,40
295,古龙明珠上下错  高层看海读二小?,https://xm.58.com/ershoufang/44322820480661x.shtml,388,42174元/㎡,集美,印斗北里1-28号,3室2厅2卫,92.0㎡,南, 否 ,中层(共12层),精装修,70年产权,2007年,古龙明珠(公寓住宅),44687.0元/㎡,1.5元/平米/月,1.6,41,800
296,新出！新莲花一期精装错层三房两卫！视野开阔！有学?,https://xm.58.com/ershoufang/44314664352663x.shtml,790,68696元/㎡,思明,龙欣里1-28号,3室2厅2卫,115.0㎡,南北, 否 ,中层(共16层),精装修,70年产权,2008年,新莲花新龙山花园(一期),63397.0元/㎡,1.25元/平米/月,2.5,40,500
297,禾祥东万象城旁 双地铁口 建发品质绿家园 西南北?,https://xm.58.com/ershoufang/44178903098883x.shtml,730,62065元/㎡,思明,湖滨南五里1-25号,3室2厅2卫,117.62㎡,南北, 否 ,中层(共12层),精装修,70年产权,2004年,绿家园,77321.0元/㎡,1.2元/平米/月,2.8,55,50
298,文灶金榜公园九中旁中心地段电梯精装3房总价低业主?,https://xm.58.com/ershoufang/43851430368130x.shtml,495,53805元/㎡,思明,厦禾路840号之1,3室2厅2卫,92.0㎡,东北, 否 ,中层(共15层),精装修,70年产权,1995年,金榜大厦,55745.0元/㎡,1.2元/平米/月,0,0,200
299,古龙明珠上下错高层，二院旁，集美二小，精装四房，?,https://xm.58.com/ershoufang/44181428440452x.shtml,435,45790元/㎡,集美,印斗北里1-28号,3室2厅2卫,95.0㎡,南, 否 ,中层(共13层),简单装修,70年产权,2007年,古龙明珠(公寓住宅),44687.0元/㎡,1.5元/平米/月,1.6,41,800
300,观山景 无遮挡 主卧带大阳台 空气清新很养眼?,https://xm.58.com/ershoufang/43857701065346x.shtml,538,51731元/㎡,思明,"东坪三里1-3,28-30,55,66-68,83,94-95号",3室2厅2卫,104.0㎡,南北, 否 ,中层(共16层),精装修,70年产权,2000年,东坪花园(一期),54157.0元/㎡,1.25元/平米/月,3,35,10
301,一年只卖一套朝南三房 全明格局 学校就在隔壁 电?,https://xm.58.com/ershoufang/44255853406500x.shtml,635,48474元/㎡,思明,莲前西路351-369号,3室2厅2卫,131.0㎡,南, 否 ,中层(共17层),简单装修,70年产权,2005年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
302,中央美地 755万3室2厅 南北通透 电梯房 看?,https://xm.58.com/ershoufang/44089974039811x.shtml,755,63446元/㎡,湖里,梧桐西里1-13号,3室2厅2卫,119.0㎡,南北, 否 ,中层(共17层),毛坯,70年产权,2010年,中央美地,69834.0元/㎡,2.2元/平米/月,2.45,40,800
303,精装修 3室2厅 109平 电梯房 双桥明珠 满?,https://xm.58.com/ershoufang/43573314323092x.shtml,269,24531元/㎡,集美,双桥一里1-42号,3室2厅2卫,109.66㎡,南北, 否 ,中层(共12层),精装修,70年产权,2004年,双桥明珠,24593.0元/㎡,1.6元/平米/月,1.8,45,624
304,祥店送15平入户花园 精装大三房 换房急售?,https://xm.58.com/ershoufang/44103885831690x.shtml,610,44992元/㎡,湖里,祥店里2-10号,3室2厅2卫,135.58㎡,南北, 否 ,中层(共12层),精装修,70年产权,2006年,第二城幸福生活,47727.0元/㎡,1.6元/平米/月,3.38,40,500
305,前埔南区 古兴里 电梯3房2卫 南北通透 采光全?,https://xm.58.com/ershoufang/43548356333086x.shtml,615,45221元/㎡,思明,古兴里1-6号,3室2厅2卫,136.0㎡,南, 否 ,中层(共17层),精装修,70年产权,2001年,古兴里,51273.0元/㎡,0.0元/平米/月,0,0,100
306,全新出炉禾祥西白鹭洲 （繁荣广场）南北高层 户型?,https://xm.58.com/ershoufang/43530688119062x.shtml,899,52725元/㎡,思明,禾祥西路267号,3室2厅2卫,170.51㎡,南北, 否 ,中层(共15层),精装修,70年产权,2004年,繁荣广场(一期),54156.0元/㎡,1.3元/平米/月,3,30,500
307,江头 新景雅苑高层 楼中楼边角套610万?,https://xm.58.com/ershoufang/44090664421013x.shtml,610,63298元/㎡,湖里,江顺里233-243号,3室2厅2卫,96.37㎡,南北, 否 ,中层(共16层),精装修,70年产权,2005年,新景雅苑,66584.0元/㎡,0.6元/平米/月,0,35,120
308,读省优滨东小学 电梯 大三房 全明 精装 双地铁?,https://xm.58.com/ershoufang/44311501038999x.shtml,628,62800元/㎡,思明,湖滨东路77-83号,3室2厅1卫,100.0㎡,南北, 否 ,中层(共16层),精装修,70年产权,2000年,嘉隆商业小区,60934.0元/㎡,0.8元/平米/月,0,0,40
309,满五年 正南向 三室二厅 挑高精装修 火车站旁?,https://xm.58.com/ershoufang/44334050150675x.shtml,499,82480元/㎡,思明,厦禾路985-987号,3室2厅3卫,60.5㎡,南, 否 ,中层(共17层),精装修,70年产权,2012年,城立方,91098.0元/㎡,1.2元/平米/月,2.8,25,50
310,满五年 东南北向 三室二厅 高端装修 莲坂?,https://xm.58.com/ershoufang/44239609136004x.shtml,635,48474元/㎡,思明,莲前西路351-369号,3室2厅2卫,131.0㎡,东南, 否 ,中层(共17层),豪华装修,,2004年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
311,万象城对面12年花园社区！小绿家园！电梯朝南！三?,https://xm.58.com/ershoufang/44101867050248x.shtml,690,68952元/㎡,思明,湖滨东路88号,3室2厅2卫,100.07㎡,西南, 否 ,中层(共12层),精装修,70年产权,2008年,佳祥花园,70982.0元/㎡,1.8元/平米/月,3.4,30,50
312,海天路带电梯朝南大3房德辉花园，空学位，有钥匙价?,https://xm.58.com/ershoufang/44346915426443x.shtml,480,39345元/㎡,湖里,海天路291-311号,3室2厅2卫,122.0㎡,南北, 否 ,中层(共13层),简单装修,70年产权,1998年,德辉花园,39018.0元/㎡,0.8元/平米/月,0,0,300
313,江头公园旁，地铁口，国宝新城，04年小区，东南向?,https://xm.58.com/ershoufang/43619367761812x.shtml,470,44277元/㎡,湖里,江顺里48-72号,3室2厅1卫,106.15㎡,南北, 否 ,中层(共12层),简单装修,70年产权,2003年,国宝新城,45965.0元/㎡,1.1元/平米/月,2.96,30,180
314,集美一小 岑西路 配套纯熟 万达广场对面 201?,https://xm.58.com/ershoufang/44211481007888x.shtml,355,32084元/㎡,集美,岑西路47-87号,3室2厅2卫,110.65㎡,南北, 否 ,中层(共12层),精装修,70年产权,2013年,岑西安置房,32190.0元/㎡,1.2元/平米/月,0,0,500
315,卧龙晓城二期 电梯三房 好改四房 厅带阳台 业主?,https://xm.58.com/ershoufang/43927212396564x.shtml,780,52554元/㎡,思明,莲前西路435-533号,3室2厅2卫,148.42㎡,南北, 否 ,中层(共12层),精装修,70年产权,2003年,卧龙晓城,53349.0元/㎡,1.5元/平米/月,3,33,500
316,读康乐小学   地铁口  带电梯 2002年 欣?,https://xm.58.com/ershoufang/44244903405966x.shtml,315,38415元/㎡,湖里,华荣路60-88号,3室1厅1卫,82.0㎡,南, 否 ,中层(共12层),简单装修,70年产权,2002年,欣华花园,41904.0元/㎡,1.0元/平米/月,0,0,100
317,祥和雅筑二期 精装小三房  满五  住房 看房方?,https://xm.58.com/ershoufang/44333536774946x.shtml,213,24167元/㎡,集美,天英二里34-107号,3室2厅1卫,88.14㎡,南北, 否 ,中层(共12层),精装修,70年产权,2000年,祥和雅筑二期,24381.0元/㎡,1.0元/平米/月,1.6,31,120
318,读五中，电梯高层大3房，婚房装修，拎包入住，卧龙?,https://xm.58.com/ershoufang/44029618731665x.shtml,688,47354元/㎡,思明,莲前西路351-369号,3室2厅2卫,145.29㎡,西南, 否 ,中层(共17层),精装修,70年产权,2004年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
319,249万 南北通透 龙湖嘉誉(二期公寓住宅) 3?,https://xm.58.com/ershoufang/43828716494350x.shtml,249,27925元/㎡,集美,鱼福四里2-13号,3室2厅2卫,89.17㎡,南北, 否 ,中层(共16层),精装修,70年产权,2015年,龙湖嘉誉(二期公寓住宅),27957.0元/㎡,3.0元/平米/月,0,0,230
320,"绿苑水岸名筑正规三房,朝南,满五年?",https://xm.58.com/ershoufang/44189524007942x.shtml,296,29969元/㎡,海沧,兴港七里1-34号,3室2厅2卫,98.77㎡,南北, 否 ,中层(共17层),简单装修,70年产权,2011年,绿苑水岸名筑,33460.0元/㎡,2.0元/平米/月,1.8,47,1000
321,小区中间位置 南北通透 毛坯房 满2年 看房有锁?,https://xm.58.com/ershoufang/43871779654560x.shtml,321,24773元/㎡,同安,海城三里1-21号,3室2厅2卫,129.58㎡,南北, 否 ,中层(共13层),毛坯,70年产权,2016年,金帝中洲滨海城(一期),26006.0元/㎡,1.8元/平米/月,2,30,50
322,电梯大3房 前埔南区 小区中庭 南北 居家装修 ?,https://xm.58.com/ershoufang/43962182980867x.shtml,565,43452元/㎡,思明,店上东里1-103号,3室2厅2卫,130.03㎡,南北, 否 ,中层(共15层),精装修,70年产权,2000年,前埔南小区(店上东里),45343.0元/㎡,0.75元/平米/月,0,40,700
323,必卖！南北通透3房！温馨舒适，精装修，品质智选，?,https://xm.58.com/ershoufang/44234758572289x.shtml,550,61743元/㎡,湖里,金湖一里1-25号,3室2厅1卫,89.08㎡,南北, 否 ,中层(共12层),精装修,70年产权,2013年,联发欣悦园,62046.0元/㎡,2.3元/平米/月,2.08,40,1000
324,火车站万象城 东南 超大阳台 大3房 40平大厅?,https://xm.58.com/ershoufang/43597533532703x.shtml,668,49118元/㎡,思明,禾祥东路172-180号,3室2厅2卫,136.0㎡,东南, 否 ,中层(共17层),精装修,70年产权,2004年,源昌广场,59371.0元/㎡,1.5元/平米/月,2,35,500
325,禾祥东路  金榜公园旁 花园小区大3房 带电梯 ?,https://xm.58.com/ershoufang/44115522775327x.shtml,876,64981元/㎡,思明,厦禾路869-871号,3室2厅2卫,134.81㎡,南北, 否 ,中层(共12层),精装修,70年产权,2004年,华鑫明都,70044.0元/㎡,1.0元/平米/月,1.8,30,50
326,新景城市天骄 精装三房一厅 产权78.25平仅售?,https://xm.58.com/ershoufang/44123314375079x.shtml,160,21263元/㎡,同安,梧侣路267-269号,3室1厅1卫,75.25㎡,南, 否 ,中层(共17层),精装修,70年产权,2013年,新景城市天骄(三期),21288.0元/㎡,1.6元/平米/月,2.17,46,100
327,好房惜售 市直属划片小区 刚需三房 拎包入住?,https://xm.58.com/ershoufang/44325838527622x.shtml,188,25874元/㎡,翔安,祥福三里1-19、31-50号,3室2厅1卫,72.66㎡,南北, 否 ,中层(共12层),精装修,70年产权,2015年,祥福三里小区,25078.0元/㎡,0.8元/平米/月,1.06,40,100
328,集美地铁口 BRT旁115平 大三房 南北通透只?,https://xm.58.com/ershoufang/43253070853771x.shtml,270,23479元/㎡,集美,孙坂南路31-41号,3室2厅2卫,115.0㎡,南, 否 ,中层(共17层),简单装修,70年产权,2000年,永祥花园,26368.0元/㎡,0.8元/平米/月,2.74,0,80
329,莲前西片区 3室2厅2卫 131.0平米 635?,https://xm.58.com/ershoufang/44256106297857x.shtml,635,48474元/㎡,思明,莲前西路351-369号,3室2厅2卫,131.0㎡,南, 否 ,中层(共17层),简单装修,,2000年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
330,江头公园旁边新景雅苑楼中楼客厅挑高5米精装修60?,https://xm.58.com/ershoufang/43187034780039x.shtml,608,63091元/㎡,湖里,江顺里233-243号,3室2厅2卫,96.37㎡,南, 否 ,中层(共12层),精装修,70年产权,2005年,新景雅苑,66584.0元/㎡,0.6元/平米/月,0,35,120
331,南北通3室2厅嘉隆商业小区精装修?,https://xm.58.com/ershoufang/44327259267084x.shtml,628,63021元/㎡,思明,湖滨东路77-83号,3室2厅1卫,99.65㎡,南北, 否 ,中层(共16层),精装修,70年产权,2000年,嘉隆商业小区,60934.0元/㎡,0.8元/平米/月,0,0,40
332,03年 地铁三号线旁 地铁高层 精装修三房 看房?,https://xm.58.com/ershoufang/44124125791631x.shtml,315,38415元/㎡,湖里,华荣路60-88号,3室2厅1卫,82.0㎡,东北, 否 ,中层(共12层),毛坯,70年产权,2002年,欣华花园,41904.0元/㎡,1.0元/平米/月,0,0,100
333,莲前卧龙晓城BRT 山木清华 电梯中层 客厅和主?,https://xm.58.com/ershoufang/44001468294273x.shtml,650,49524元/㎡,思明,莲前西路351-369号,3室2厅2卫,131.25㎡,南北, 否 ,中层(共14层),简单装修,70年产权,2005年,山木清华,51041.0元/㎡,1.8元/平米/月,0,40,10
